Month,Price,Change
08/01/2022,3.60,-2.71%
09/01/2022,3.44,-4.48%
10/01/2022,4.35,26.49%
11/01/2022,4.06,-6.49%
12/01/2022,NA,-23.28%
01/01/2023,3.27,4.81%
02/01/2023,2.83,-13.31%
03/01/2023,2.75,-3.00%
04/01/2023,2.59,-5.61%
05/01/2023,2.35,-9.53%
06/01/2023,2.43,3.67%
07/01/2023,2.67,9.83%
08/01/2023,3.12,16.70%
09/01/2023,3.33,6.67%
10/01/2023,3.11,-6.35%
11/01/2023,2.91,-6.71%
12/01/2023,2.63,-9.40%
01/01/2024,2.68,1.86%
02/01/2024,NA,3.36%
03/01/2024,2.67,-3.50%
04/01/2024,2.62,-2.02%
05/01/2024,2.43,-7.25%
06/01/2024,2.43,-0.16%
07/01/2024,2.47,1.94%
08/01/2024,2.28,-7.80%
09/01/2024,2.11,-7.46%
10/01/2024,2.22,5.07%
11/01/2024,2.23,0.41%
